init,final,1,x,y,target
0,0,1,0,0,1
0,0,1,5,1,1
0,0,1,5,2,1
0,0,1,5,3,1
0,0,1,5,4,1
0,0,1,5,5,1
0,0,1,10,6,1
0,0,1,10,7,1
0,0,1,10,8,1
0,0,1,10,9,1
0,0,1,10,10,1
0,0,1,15,11,1
0,0,1,15,12,1
0,0,1,15,13,1
0,0,1,15,14,1
0,0,1,15,15,1
0,0,1,20,16,1
0,0,1,20,17,1
0,0,1,20,18,1
0,0,1,20,19,1
0,0,1,20,20,1
0,0,1,25,21,1
0,0,1,25,22,1
0,0,1,25,23,1
0,0,1,25,24,1
0,0,1,25,25,1
0,0,1,30,26,1
0,0,1,30,27,1
0,0,1,30,28,1
0,0,1,30,29,1
0,0,1,30,30,1
0,0,1,35,31,1
0,0,1,35,32,1
0,0,1,35,33,1
0,0,1,35,34,1
0,0,1,35,35,1
0,0,1,40,36,1
0,0,1,40,37,1
0,0,1,40,38,1
0,0,1,40,39,1
0,0,1,40,40,1
0,0,1,45,41,1
0,0,1,45,42,1
0,0,1,45,43,1
0,0,1,45,44,1
0,0,1,45,45,1
0,0,1,50,46,1
0,0,1,50,47,1
0,0,1,50,48,1
0,0,1,50,49,1
0,0,1,50,50,1
0,0,1,55,51,1
0,0,1,55,52,1
0,0,1,55,53,1
0,0,1,55,54,1
0,0,1,55,55,1
0,0,1,60,56,1
0,0,1,60,57,1
0,0,1,60,58,1
0,0,1,60,59,1
0,0,1,60,60,1
0,0,1,65,61,1
0,0,1,65,62,1
0,0,1,65,63,1
0,0,1,65,64,1
0,0,1,65,65,1
0,0,1,70,66,1
0,0,1,70,67,1
0,0,1,70,68,1
0,0,1,70,69,1
0,0,1,70,70,1
0,0,1,75,71,1
0,0,1,75,72,1
0,0,1,75,73,1
0,0,1,75,74,1
0,0,1,75,75,1
0,0,1,80,76,1
0,0,1,80,77,1
0,0,1,80,78,1
0,0,1,80,79,1
0,0,1,80,80,1
0,0,1,85,81,1
0,0,1,85,82,1
0,0,1,85,83,1
0,0,1,85,84,1
0,0,1,85,85,1
0,0,1,90,86,1
0,0,1,90,87,1
0,0,1,90,88,1
0,0,1,90,89,1
0,0,1,90,90,1
0,0,1,95,91,1
0,0,1,95,92,1
0,0,1,95,93,1
0,0,1,95,94,1
0,0,1,95,95,1
0,0,1,100,96,1
0,0,1,100,97,1
0,0,1,100,98,1
0,0,1,100,99,1
0,0,1,100,100,1
0,0,1,105,101,1
0,0,1,105,102,1
0,0,1,105,103,1
0,0,1,105,104,1
0,0,1,105,105,1
0,0,1,110,106,1
0,0,1,110,107,1
0,0,1,110,108,1
0,0,1,110,109,1
0,0,1,110,110,1
0,0,1,115,111,1
0,0,1,115,112,1
0,0,1,115,113,1
0,0,1,115,114,1
0,0,1,115,115,1
0,0,1,120,116,1
0,0,1,120,117,1
0,0,1,120,118,1
0,0,1,120,119,1
0,0,1,120,120,1
0,0,1,125,121,1
0,0,1,125,122,1
0,0,1,125,123,1
0,0,1,125,124,1
0,0,1,125,125,1
0,0,1,130,126,1
0,0,1,130,127,1
0,0,1,130,128,1
0,0,1,130,129,1
0,0,1,130,130,1
0,0,1,135,131,1
0,0,1,135,132,1
0,0,1,135,133,1
0,0,1,135,134,1
0,0,1,135,135,1
0,0,1,140,136,1
0,0,1,140,137,1
0,0,1,140,138,1
0,0,1,140,139,1
0,0,1,140,140,1
0,0,1,145,141,1
0,0,1,145,142,1
0,0,1,145,143,1
0,0,1,145,144,1
0,0,1,145,145,1
0,0,1,150,146,1
0,0,1,150,147,1
0,0,1,150,148,1
0,0,1,150,149,1
0,0,1,150,150,1
0,0,1,155,151,1
0,0,1,155,152,1
0,0,1,155,153,1
0,0,1,155,154,1
0,0,1,155,155,1
0,0,1,160,156,1
0,0,1,160,157,1
0,0,1,160,158,1
0,0,1,160,159,1
0,0,1,160,160,1
0,0,1,165,161,1
0,0,1,165,162,1
0,0,1,165,163,1
0,0,1,165,164,1
0,0,1,165,165,1
0,0,1,170,166,1
0,0,1,170,167,1
0,0,1,170,168,1
0,0,1,170,169,1
0,0,1,170,170,1
0,0,1,175,171,1
0,0,1,175,172,1
0,0,1,175,173,1
0,0,1,175,174,1
0,0,1,175,175,1
0,0,1,180,176,1
0,0,1,180,177,1
0,0,1,180,178,1
0,0,1,180,179,1
0,0,1,180,180,1
0,0,1,185,181,1
0,0,1,185,182,1
0,0,1,185,183,1
0,0,1,185,184,1
0,0,1,185,185,1
0,0,1,190,186,1
0,0,1,190,187,1
0,0,1,190,188,1
0,0,1,190,189,1
0,0,1,190,190,1
0,0,1,195,191,1
0,0,1,195,192,1
0,0,1,195,193,1
0,0,1,195,194,1
0,0,1,195,195,1
0,0,1,200,196,1
