init,final,1,x,y,target
0,0,1,1,0,1
0,0,1,2,1,1
0,0,1,3,3,1
0,0,1,4,6,1
0,0,1,5,10,1
0,0,1,6,15,1
0,0,1,7,21,1
0,0,1,8,28,1
0,0,1,9,36,1
0,0,1,10,45,1
0,0,1,11,55,1
0,0,1,12,66,1
0,0,1,13,78,1
0,0,1,14,91,1
0,0,1,15,105,1
0,0,1,16,120,1
0,0,1,17,136,1
0,0,1,18,153,1
0,0,1,19,171,1
0,0,1,20,190,1
0,0,1,21,210,1
0,0,1,22,231,1
0,0,1,23,253,1
0,0,1,24,276,1
0,0,1,25,300,1
0,0,1,26,325,1
0,0,1,27,351,1
0,0,1,28,378,1
0,0,1,29,406,1
0,0,1,30,435,1
0,0,1,31,465,1
0,0,1,32,496,1
0,0,1,33,528,1
0,0,1,34,561,1
0,0,1,35,595,1
0,0,1,36,630,1
0,0,1,37,666,1
0,0,1,38,703,1
0,0,1,39,741,1
0,0,1,40,780,1
0,0,1,41,820,1
0,0,1,42,861,1
0,0,1,43,903,1
0,0,1,44,946,1
0,0,1,45,990,1
0,0,1,46,1035,1
0,0,1,47,1081,1
0,0,1,48,1128,1
0,0,1,49,1176,1
0,0,1,50,1225,1
0,0,1,51,1275,1
0,0,1,52,1326,1
0,0,1,53,1378,1
0,0,1,54,1431,1
0,0,1,55,1485,1
0,0,1,56,1540,1
0,0,1,57,1596,1
0,0,1,58,1653,1
0,0,1,59,1711,1
0,0,1,60,1770,1
0,0,1,61,1830,1
0,0,1,62,1891,1
0,0,1,63,1953,1
0,0,1,64,2016,1
0,0,1,65,2080,1
0,0,1,66,2145,1
0,0,1,67,2211,1
0,0,1,68,2278,1
0,0,1,69,2346,1
0,0,1,70,2415,1
0,0,1,71,2485,1
0,0,1,72,2556,1
0,0,1,73,2628,1
0,0,1,74,2701,1
0,0,1,75,2775,1
0,0,1,76,2850,1
0,0,1,77,2926,1
0,0,1,78,3003,1
0,0,1,79,3081,1
0,0,1,80,3160,1
0,0,1,81,3240,1
0,0,1,82,3321,1
0,0,1,83,3403,1
0,0,1,84,3486,1
0,0,1,85,3570,1
0,0,1,86,3655,1
0,0,1,87,3741,1
0,0,1,88,3828,1
0,0,1,89,3916,1
0,0,1,90,4005,1
0,0,1,91,4095,1
0,0,1,92,4186,1
0,0,1,93,4278,1
0,0,1,94,4371,1
0,0,1,95,4465,1
0,0,1,96,4560,1
0,0,1,97,4656,1
0,0,1,98,4753,1
0,0,1,99,4851,1
0,0,1,100,4950,1
