init,final,1,x,y,target
0,0,1,0,0,1
0,0,1,1,2,1
0,0,1,2,4,1
0,0,1,3,6,1
0,0,1,4,8,1
0,0,1,5,10,1
0,0,1,6,12,1
0,0,1,7,14,1
0,0,1,8,16,1
0,0,1,9,18,1
0,0,1,10,20,1
0,0,1,11,22,1
0,0,1,12,24,1
0,0,1,13,26,1
0,0,1,14,28,1
0,0,1,15,30,1
0,0,1,16,32,1
0,0,1,17,34,1
0,0,1,18,36,1
0,0,1,19,38,1
0,0,1,20,40,1
0,0,1,21,42,1
0,0,1,22,44,1
0,0,1,23,46,1
0,0,1,24,48,1
0,0,1,25,50,1
0,0,1,26,52,1
0,0,1,27,54,1
0,0,1,28,56,1
0,0,1,29,58,1
0,0,1,30,60,1
0,0,1,31,62,1
0,0,1,32,64,1
0,0,1,33,66,1
0,0,1,34,68,1
0,0,1,35,70,1
0,0,1,36,72,1
0,0,1,37,74,1
0,0,1,38,76,1
0,0,1,39,78,1
0,0,1,40,80,1
0,0,1,41,82,1
0,0,1,42,84,1
0,0,1,43,86,1
0,0,1,44,88,1
0,0,1,45,90,1
0,0,1,46,92,1
0,0,1,47,94,1
0,0,1,48,96,1
0,0,1,49,98,1
0,0,1,50,100,1
0,0,1,51,102,1
0,0,1,52,104,1
0,0,1,53,106,1
0,0,1,54,108,1
0,0,1,55,110,1
0,0,1,56,112,1
0,0,1,57,114,1
0,0,1,58,116,1
0,0,1,59,118,1
0,0,1,60,120,1
0,0,1,61,122,1
0,0,1,62,124,1
0,0,1,63,126,1
0,0,1,64,128,1
0,0,1,65,130,1
0,0,1,66,132,1
0,0,1,67,134,1
0,0,1,68,136,1
0,0,1,69,138,1
0,0,1,70,140,1
0,0,1,71,142,1
0,0,1,72,144,1
0,0,1,73,146,1
0,0,1,74,148,1
0,0,1,75,150,1
0,0,1,76,152,1
0,0,1,77,154,1
0,0,1,78,156,1
0,0,1,79,158,1
0,0,1,80,160,1
0,0,1,81,162,1
0,0,1,82,164,1
0,0,1,83,166,1
0,0,1,84,168,1
0,0,1,85,170,1
0,0,1,86,172,1
0,0,1,87,174,1
0,0,1,88,176,1
0,0,1,89,178,1
0,0,1,90,180,1
0,0,1,91,182,1
0,0,1,92,184,1
0,0,1,93,186,1
0,0,1,94,188,1
0,0,1,95,190,1
0,0,1,96,192,1
0,0,1,97,194,1
0,0,1,98,196,1
0,0,1,99,198,1
0,0,1,100,200,1
